"","Place","Statistic","Value"
"138",38,"C1P (%)",81.9210526315789
"139",39,"C1P (%)",74.1
"140",40,"C1P (%)",79.063829787234
"141",41,"C1P (%)",78.5454545454545
"142",42,"C1P (%)",73.6341463414634
"143",43,"C1P (%)",79.3823529411765
"144",44,"C1P (%)",75.5
"145",45,"C1P (%)",76.5
"146",46,"C1P (%)",78.3469387755102
"147",47,"C1P (%)",79.2702702702703
"148",48,"C1P (%)",78.2
"149",49,"C1P (%)",76.6190476190476
"150",50,"C1P (%)",75.6842105263158
"151",1,"C1P Strokes Saved",2.66791199052492
"152",2,"C1P Strokes Saved",2.11757082560998
"153",3,"C1P Strokes Saved",2.31078860216073
"154",4,"C1P Strokes Saved",1.94375027045262
"155",5,"C1P Strokes Saved",1.4784760108115
"156",6,"C1P Strokes Saved",1.21632719937941
"157",7,"C1P Strokes Saved",1.51445722022375
"158",8,"C1P Strokes Saved",1.04890442905304
"159",9,"C1P Strokes Saved",1.82237804635032
"160",10,"C1P Strokes Saved",1.18705435104403
"161",11,"C1P Strokes Saved",1.76852861729798
"162",12,"C1P Strokes Saved",1.59763456146245
"163",13,"C1P Strokes Saved",1.03095461936893
"164",14,"C1P Strokes Saved",1.199720487343
"165",15,"C1P Strokes Saved",1.18165623008582
"166",16,"C1P Strokes Saved",0.837858181858001
"167",17,"C1P Strokes Saved",0.44187450155391
"168",18,"C1P Strokes Saved",1.35989132314958
"169",19,"C1P Strokes Saved",0.509613212518273
"170",20,"C1P Strokes Saved",1.14853248820885
"171",21,"C1P Strokes Saved",1.23688789047213
"172",22,"C1P Strokes Saved",0.270535409114638
"173",23,"C1P Strokes Saved",0.0709757602736047
"174",24,"C1P Strokes Saved",1.02915401150093
"175",25,"C1P Strokes Saved",1.08525279366337
"176",26,"C1P Strokes Saved",0.72801078592749
"177",27,"C1P Strokes Saved",0.529778905501013
"178",28,"C1P Strokes Saved",0.389154780803365
"179",29,"C1P Strokes Saved",0.00618366649404756
"180",30,"C1P Strokes Saved",0.304803227602493
"181",31,"C1P Strokes Saved",0.613213593993182
"182",32,"C1P Strokes Saved",0.175254157709384
"183",33,"C1P Strokes Saved",0.663057693611877
"184",34,"C1P Strokes Saved",0.117015582289051
"185",35,"C1P Strokes Saved",0.835954414164233
"186",36,"C1P Strokes Saved",0.355460002758452
"187",37,"C1P Strokes Saved",-0.435070126112542
"188",38,"C1P Strokes Saved",1.28233783920338
"189",39,"C1P Strokes Saved",-0.325724632574026
"190",40,"C1P Strokes Saved",0.694873076347216
"191",41,"C1P Strokes Saved",0.588291544183834
"192",42,"C1P Strokes Saved",-0.42150736424983
"193",43,"C1P Strokes Saved",0.760363638088082
"194",44,"C1P Strokes Saved",-0.0378749572760491
"195",45,"C1P Strokes Saved",0.167731953651076
"196",46,"C1P Strokes Saved",0.547475329955256
"197",47,"C1P Strokes Saved",0.737318666354598
"198",48,"C1P Strokes Saved",0.517263702227188
"199",49,"C1P Strokes Saved",0.192208966856686
"200",50,"C1P Strokes Saved",0
